time,event,customer_id,queue_length,busy_servers,system_size
4712.146852497254,service_start,4278,8,2,10
4712.174238796381,departure,4278,8,1,9
4712.174238796381,service_start,4279,7,2,9
4712.930169130098,departure,4277,7,1,8
4712.930169130098,service_start,4280,6,2,8
4713.375276440949,departure,4280,6,1,7
4713.375276440949,service_start,4281,5,2,7
4713.939588510175,departure,4279,5,1,6
4713.939588510175,service_start,4282,4,2,6
4716.122102675358,arrival,4287,5,2,7
4716.297770691835,arrival,4288,6,2,8
4716.638872756571,arrival,4289,7,2,9
4717.665463244859,arrival,4290,8,2,10
4717.7279797766505,arrival,4291,9,2,11
4717.839585993261,arrival,4292,10,2,12
4718.029095234742,departure,4281,10,1,11
4718.029095234742,service_start,4283,9,2,11
4718.297081041065,arrival,4293,10,2,12
4719.056556019338,arrival,4294,11,2,13
4719.812385776133,arrival,4295,12,2,14
4720.40621101458,departure,4282,12,1,13
4720.40621101458,service_start,4284,11,2,13
4721.496973589892,departure,4284,11,1,12
4721.496973589892,service_start,4285,10,2,12
4721.7673703053315,arrival,4296,11,2,13
4722.061350498787,departure,4283,11,1,12
4722.061350498787,service_start,4286,10,2,12
4722.444907414567,departure,4285,10,1,11
4722.444907414567,service_start,4287,9,2,11
4722.763663128683,departure,4286,9,1,10
4722.763663128683,service_start,4288,8,2,10
4723.035655839128,departure,4288,8,1,9
4723.035655839128,service_start,4289,7,2,9
4723.919919092727,departure,4289,7,1,8
4723.919919092727,service_start,4290,6,2,8
4724.285406862816,arrival,4297,7,2,9
4724.954844651123,departure,4287,7,1,8
4724.954844651123,service_start,4291,6,2,8
4726.062983469363,departure,4290,6,1,7
4726.062983469363,service_start,4292,5,2,7
4726.344266338364,departure,4291,5,1,6
4726.344266338364,service_start,4293,4,2,6
4726.369745969455,arrival,4298,5,2,7
4726.444447574577,arrival,4299,6,2,8
4726.547564527177,departure,4293,6,1,7
4726.547564527177,service_start,4294,5,2,7
4727.122602285482,arrival,4300,6,2,8
4727.409346916061,arrival,4301,7,2,9
4727.512625485578,arrival,4302,8,2,10
4727.675269708873,departure,4294,8,1,9
4727.675269708873,service_start,4295,7,2,9
4728.412250035634,departure,4292,7,1,8
4728.412250035634,service_start,4296,6,2,8
4728.773290879657,arrival,4303,7,2,9
4729.197602133935,departure,4296,7,1,8
4729.197602133935,service_start,4297,6,2,8
4729.221814598934,departure,4295,6,1,7
4729.221814598934,service_start,4298,5,2,7
4730.700403313538,departure,4297,5,1,6
4730.700403313538,service_start,4299,4,2,6
4731.051748467105,departure,4299,4,1,5
4731.051748467105,service_start,4300,3,2,5
4731.3004833393,departure,4300,3,1,4
4731.3004833393,service_start,4301,2,2,4
4731.664858795145,arrival,4304,3,2,5
4731.790242404293,arrival,4305,4,2,6
4732.016781720449,departure,4301,4,1,5
4732.016781720449,service_start,4302,3,2,5
4732.343750081533,arrival,4306,4,2,6
4732.981373353489,arrival,4307,5,2,7
4733.328180498956,arrival,4308,6,2,8
