t,u,u_analytic,abs_error
9.0,14.879731460382898,14.87973172487283,2.6448993217798034e-7
9.1,15.332886744334065,15.332887019907195,2.7557313053705457e-7
9.2,15.799842661174313,15.799842948260395,2.8708608112992806e-7
9.3,16.281019502743735,16.28101980178843,2.990446930084545e-7
9.4,16.77685036067445,16.776850672139872,3.114654205660372e-7
9.5,17.287781516202312,17.28778184056764,3.243653274864755e-7
9.6,17.814272841850123,17.814273179612197,3.377620743094667e-7
9.700000000000001,18.356798215343957,18.356798567017925,3.5167396816859764e-7
9.8,18.91584594613509,18.915846312255038,3.6611994858049e-7
9.9,19.491919214911462,19.49191959603112,3.811196584990739e-7
10.0,20.085536526494256,20.085536923187668,3.9669341234116473e-7
