time,S,I,R
64.0,5.0e-324,1.6641110401803079,998.3358889598062
64.5,5.0e-324,1.5829513870563754,998.4170486129307
65.0,5.0e-324,1.5057499369226015,998.4942500630635
65.5,5.0e-324,1.4323136459412134,998.5676863540439
66.0,5.0e-324,1.362458885133505,998.6375411148518
66.5,5.0e-324,1.2960109812117362,998.7039890187729
67.0,5.0e-324,1.2328037798049385,998.7671962201798
67.5,5.0e-324,1.1726792299864397,998.8273207699971
68.0,5.0e-324,1.1154869890642085,998.8845130109197
68.5,5.0e-324,1.0610840466458331,998.9389159533375
69.0,5.0e-324,1.009334367038046,998.9906656329462
69.5,5.0e-324,0.9601085490866204,999.0398914508962
70.0,5.0e-324,0.9132835026060985,999.0867164973778
70.5,5.0e-324,0.8687421405902019,999.1312578593939
71.0,5.0e-324,0.8263730864333335,999.1736269135514
71.5,5.0e-324,0.7860703954310442,999.213929604554
72.0,5.0e-324,0.7477332898630983,999.2522667101211
72.5,5.0e-324,0.7112659069966699,999.2887340929882
73.0,5.0e-324,0.6765770593795818,999.3234229406053
73.5,5.0e-324,0.6435800068241767,999.3564199931614
74.0,5.0e-324,0.612192239511674,999.3878077604745
74.5,5.0e-324,0.5823352716746325,999.417664728311
75.0,5.0e-324,0.5539344453416596,999.4460655546447
75.5,5.0e-324,0.5269187436535943,999.473081256333
76.0,5.0e-324,0.5012206132843677,999.4987793867018
76.5,5.0e-324,0.47677579552249727,999.5232242044628
77.0,5.0e-324,0.45352316559084277,999.5464768343938
77.5,5.0e-324,0.4314045798028217,999.5685954201813
78.0,5.0e-324,0.4103647301729082,999.5896352698112
78.5,5.0e-324,0.39035100611785944,999.6096489938662
79.0,5.0e-324,0.37131336290285466,999.6286866370818
79.5,5.0e-324,0.3532041965035912,999.6467958034813
80.0,5.0e-324,0.3359782245714286,999.6640217754136
80.5,5.0e-324,0.31959237320392736,999.6804076267816
81.0,5.0e-324,0.30400566923766187,999.6959943307489
81.5,5.0e-324,0.2891791377939652,999.7108208621928
82.0,5.0e-324,0.2750757048214321,999.7249242951665
82.5,5.0e-324,0.261660104391481,999.7383398955968
83.0,5.0e-324,0.24889879051516464,999.7511012094725
83.5,5.0e-324,0.2367598532607204,999.7632401467263
84.0,5.0e-324,0.22521293896212266,999.7747870610253
84.5,5.0e-324,0.21422917431910524,999.7857708256668
85.0,5.0e-324,0.20378109419887416,999.7962189057874
85.5,5.0e-324,0.1938425729589671,999.8061574270266
86.0,5.0e-324,0.1843887591195398,999.8156112408653
86.5,5.0e-324,0.17539601322172255,999.8246039867644
87.0,5.0e-324,0.16684184871665877,999.8331581512695
87.5,5.0e-324,0.15870487573742054,999.8412951242491
88.0,5.0e-324,0.15096474761320008,999.8490352523728
88.5,5.0e-324,0.1436021099920344,999.8563978899933
89.0,5.0e-324,0.13659855244484406,999.8634014475408
89.5,5.0e-324,0.1299365624297704,999.8700634375565
90.0,5.0e-324,0.12359948150170094,999.8764005184853
90.5,5.0e-324,0.11757146365747764,999.8824285363299
91.0,5.0e-324,0.11183743571263567,999.8881625642744
91.5,5.0e-324,0.10638305961059133,999.893616940377
92.0,5.0e-324,0.10119469657003195,999.8988053034183
92.5,5.0e-324,0.09625937298085868,999.9037406270061
93.0,5.0e-324,0.09156474796340366,999.9084352520249
93.5,5.0e-324,0.08709908250980214,999.9129009174795
94.0,5.0e-324,0.08285121013035897,999.9171487898584
94.5,5.0e-324,0.07881050893150787,999.9211894910577
95.0,5.0e-324,0.07496687505554438,999.9250331249334
95.5,5.0e-324,0.07131069741571956,999.9286893025742
96.0,5.0e-324,0.06783283366351563,999.9321671663259
96.5,5.0e-324,0.064524587328014,999.935475412662
97.0,5.0e-324,0.06137768607018742,999.938622313919
97.5,5.0e-324,0.05838426099774377,999.941615738992
98.0,5.0e-324,0.05553682698879651,999.9444631730013
98.5,5.0e-324,0.052828263975161244,999.9471717360152
99.0,5.0e-324,0.05025179913847636,999.9497482008519
99.5,5.0e-324,0.04780098997462971,999.9521990100153
100.0,5.0e-324,0.045469708184142255,999.9545302918049
